file_path,qualified_name,kind,start_line,end_line,line_range,intended_function,suggestion,notes,executed_lines,total_lines,coverage_ratio,is_async,is_dunder,decorators,code_snippet
docs/examples/manage_volumes_api.py,list_volumes,function,19,37,19-37,general purpose,investigate,file-not-in-coverage-json,0,19,0.00%,False,False,,"def list_volumes():
    """"""List all configured external volumes.""""""
    print(""\n=== Listing External Volumes ==="")
    response = requests.get(f""{BASE_URL}/volumes/"")
    response.raise_for_status()

    data = response.json()
    volumes = data.get(""volumes"", [])

    if not volumes:
        print(""No external volumes configured."")
    else:
        for vol in volumes:
            print(f""\n  {vol['name']}:"")
            print(f""    Primary:  {vol['primary']}"")
            print(f""    Fallback: {vol['fallback']}"")
            print(f""    Mount:    {vol['mount']}"")

    return volumes"
docs/examples/manage_volumes_api.py,get_volumes_status,function,40,55,40-55,data retrieval,investigate,file-not-in-coverage-json,0,16,0.00%,False,False,,"def get_volumes_status():
    """"""Get status of all volumes (available/unavailable).""""""
    print(""\n=== Volumes Status ==="")
    response = requests.get(f""{BASE_URL}/volumes/status"")
    response.raise_for_status()

    statuses = response.json()

    for status in statuses:
        available_icon = ""[Check Mark]"" if status['is_available'] else ""[Ballot X]""
        marker_icon = ""[Check Mark]"" if status['marker_exists'] else ""[Ballot X]""

        print(f""\n  {status['name']}:"")
        print(f""    Available: {available_icon} {status['is_available']}"")
        print(f""    Marker:    {marker_icon} {status['marker_exists']}"")
        print(f""    Primary:   {status['primary']}"")"
docs/examples/manage_volumes_api.py,add_volume,function,58,78,58-78,general purpose,investigate,file-not-in-coverage-json,0,21,0.00%,False,False,,"def add_volume(name: str, primary: str, fallback: str, mount: str):
    """"""Add a new external volume.""""""
    print(f""\n=== Adding Volume: {name} ==="")

    payload = {
        ""name"": name,
        ""primary"": primary,
        ""fallback"": fallback,
        ""mount"": mount
    }

    response = requests.post(f""{BASE_URL}/volumes/add"", json=payload)

    if response.status_code == 201:
        print(f""[Check Mark] Successfully added volume '{name}'"")
        return response.json()
    elif response.status_code == 400:
        print(f""[Ballot X] Volume '{name}' already exists"")
        return None
    else:
        response.raise_for_status()"
docs/examples/manage_volumes_api.py,update_volume,function,81,101,81-101,data modification,investigate,file-not-in-coverage-json,0,21,0.00%,False,False,,"def update_volume(name: str, primary: str, fallback: str, mount: str):
    """"""Update an existing volume.""""""
    print(f""\n=== Updating Volume: {name} ==="")

    payload = {
        ""name"": name,
        ""primary"": primary,
        ""fallback"": fallback,
        ""mount"": mount
    }

    response = requests.put(f""{BASE_URL}/volumes/{name}"", json=payload)

    if response.status_code == 200:
        print(f""[Check Mark] Successfully updated volume '{name}'"")
        return response.json()
    elif response.status_code == 404:
        print(f""[Ballot X] Volume '{name}' not found"")
        return None
    else:
        response.raise_for_status()"
docs/examples/manage_volumes_api.py,remove_volume,function,104,117,104-117,general purpose,investigate,file-not-in-coverage-json,0,14,0.00%,False,False,,"def remove_volume(name: str):
    """"""Remove a volume.""""""
    print(f""\n=== Removing Volume: {name} ==="")

    response = requests.delete(f""{BASE_URL}/volumes/{name}"")

    if response.status_code == 200:
        print(f""[Check Mark] Successfully removed volume '{name}'"")
        return response.json()
    elif response.status_code == 404:
        print(f""[Ballot X] Volume '{name}' not found"")
        return None
    else:
        response.raise_for_status()"
docs/examples/manage_volumes_api.py,mark_volume_available,function,120,138,120-138,general purpose,investigate,file-not-in-coverage-json,0,19,0.00%,False,False,,"def mark_volume_available(name: str):
    """"""Mark a volume as available by creating .volume-available marker.""""""
    print(f""\n=== Marking Volume as Available: {name} ==="")

    response = requests.post(f""{BASE_URL}/volumes/{name}/mark-available"")

    if response.status_code == 200:
        data = response.json()
        print(f""[Check Mark] Marked volume '{name}' as available"")
        print(f""  Marker: {data['marker_path']}"")
        return data
    elif response.status_code == 404:
        print(f""[Ballot X] Volume '{name}' not found"")
        return None
    elif response.status_code == 400:
        print(f""[Ballot X] Primary path does not exist"")
        return None
    else:
        response.raise_for_status()"
docs/examples/manage_volumes_api.py,main,function,141,177,141-177,main entry point,investigate,file-not-in-coverage-json,0,37,0.00%,False,False,,"def main():
    """"""Main example workflow.""""""
    print(""="" * 60)
    print(""External Volumes Management API Demo"")
    print(""="" * 60)

    # List current volumes
    volumes = list_volumes()

    # Get volumes status
    get_volumes_status()

    # Example: Add a new volume (uncomment to test)
    # add_volume(
    #     name=""Research"",
    #     primary=""/media/usb/research"",
    #     fallback=""./data/research-fallback"",
    #     mount=""/mnt/resources/Research""
    # )

    # Example: Update an existing volume (uncomment to test)
    # update_volume(
    #     name=""Libros"",
    #     primary=""/mnt/resources/Libros"",
    #     fallback=""./data/libros-fallback"",
    #     mount=""/mnt/resources/Libros""
    # )

    # Example: Mark a volume as available (uncomment to test)
    # mark_volume_available(""Libros"")

    # Example: Remove a volume (uncomment to test)
    # remove_volume(""Research"")

    print(""\n"" + ""="" * 60)
    print(""Demo completed successfully!"")
    print(""="" * 60)"
src/conf.py,as_dict,function,21,30,21-30,general purpose,consider_delete,function-or-method-not-executed,0,10,0.00%,False,False,,"def as_dict() -> Dict[str, Any]:
    """"""
    Export the runtime settings as a plain dictionary.

    Returns:
        A dictionary representation of the runtime settings.
    """"""
    if hasattr(settings, ""model_dump""):
        return settings.model_dump()  # type: ignore[no-any-return]
    return dict(getattr(settings, ""__dict__"", {}))"
src/main.py,main,function,32,34,32-34,main entry point,consider_delete,function-or-method-not-executed,0,3,0.00%,False,False,,"def main() -> None:
    """"""Entrypoint for `python -m src.main --ingest ...`.""""""
    _ingestion_main()"
src/api/app.py,lifespan,function,38,55,38-55,general purpose,consider_delete,function-or-method-not-executed,0,18,0.00%,True,False,asynccontextmanager,"async def lifespan(app: FastAPI) -> AsyncIterator[None]:
    """"""Lifespan context manager for initializing the RAG runtime.""""""
    global runtime_resources

    logger.info(""Initializing RAG API..."")
    resources: Optional[RuntimeResources] = None

    try:
        resources = runtime_factory.create()
        runtime_resources = resources
        yield
    except Exception as exc:
        logger.error(""Failed to initialize RAG API: %s"", exc, exc_info=True)
        raise
    finally:
        logger.info(""Shutting down RAG API..."")
        runtime_factory.shutdown(resources)
        runtime_resources = None"
